date,open,high,low,close,volume,market cap
2014-09-18,466.057,468.174,452.422,457.377,17847189.583333332,6120187439.278719
2014-09-19,457.334,457.334,413.104,424.23,23936310.452961672,5848924576.318063
2014-09-20,424.44,427.835,384.532,394.709,39624553.472222224,5395572756.043923
2014-09-21,394.796,423.296,389.883,409.558,39775479.51388889,5455665789.238132
2014-09-22,408.904,412.426,393.181,398.645,31167172.569444444,5325825301.95546
2014-09-23,398.821,406.916,397.13,402.188,24169071.77700349,5355523625.333158
2014-09-24,402.152,441.557,396.197,435.962,26936516.666666668,5434471533.528753
2014-09-25,435.791,436.112,421.132,422.795,44812945.614035085,5683678827.387255
2014-09-26,423.205,423.52,409.468,411.693,29322064.80836237,5505021782.388759
2014-09-27,411.574,414.938,400.009,403.95,22426422.916666668,5411007316.7789545
2014-09-28,404.425,406.623,397.372,399.205,17930401.041666668,5356022557.694637
2014-09-29,399.52,401.017,374.332,377.06,16840409.027777776,5217809767.286581
2014-09-30,377.181,385.211,372.24,375.665,29670549.477351915,5047879293.684884
2014-10-01,375.467,390.977,373.443,387.137,31058240.625,5085982858.732262
2014-10-02,386.944,391.379,380.78,383.615,33676631.38297872,5142650371.606584
2014-10-03,383.988,385.497,372.946,375.081,20289558.02469136,5068220518.881216
2014-10-04,375.072,377.695,357.859,360.002,23849561.672473863,4945990573.926562
2014-10-05,359.512,364.487,325.886,328.892,38072701.45454545,4637882417.746349
2014-10-06,328.866,341.801,289.296,321.77,58695294.79166666,4243362873.965004
2014-10-07,320.51,345.134,302.56,329.387,94978103.1358885,4336864391.255948
2014-10-08,330.079,339.247,320.482,336.718,62903305.902777776,4425125067.9497385
2014-10-09,336.187,354.364,327.188,353.45,46380585.06944445,4525049331.164852
2014-10-10,352.94,382.726,347.687,364.51,66680669.79166666,4848203100.110207
2014-10-11,365.026,375.067,352.963,360.576,71098449.47735192,4849283215.450751
2014-10-12,361.562,367.191,355.951,363.041,25966678.472222224,4826730278.052319
2014-10-13,362.299,379.433,356.144,379.171,11806811.180555556,4868634798.653844
2014-10-14,378.549,397.226,368.897,390.196,24115303.48432056,5061817741.803212
2014-10-15,390.414,411.698,390.414,401.361,42621492.708333336,5396600676.489548
2014-10-16,400.87,402.227,388.766,394.733,32094415.625,5286017631.50734
2014-10-17,394.773,398.807,373.07,382.834,22321544.599303138,5190444722.631856
2014-10-18,382.556,385.478,375.389,383.801,22801798.25783972,5102231087.941028
2014-10-19,383.758,395.158,378.971,391.556,12354684.027777778,5183724143.567638
2014-10-20,391.442,393.939,386.457,390.54,9262827.291666666,5232518231.916939
2014-10-21,389.546,390.084,378.252,382.479,12469332.61324042,5142069807.264398
2014-10-22,382.845,392.646,380.834,386.154,13485783.888888888,5179837590.073051
2014-10-23,386.475,388.576,382.249,383.194,13183125.0,5164229316.556067
2014-10-24,383.158,385.048,356.447,359.053,19095447.569444444,4956181022.423944
2014-10-25,358.417,364.345,353.305,358.478,23190216.72473868,4816913123.635525
2014-10-26,358.345,359.861,342.877,346.653,15502566.202090591,4717867111.353323
2014-10-27,347.271,359.221,343.931,354.681,15363360.763888888,4734813898.8242855
2014-10-28,354.704,358.632,349.809,353.178,10943983.832752611,4765155962.044108
2014-10-29,352.989,359.984,352.679,357.389,10514858.888888888,4793217528.389836
2014-10-30,357.618,357.833,335.343,335.68,12228819.618055556,4676126607.146399
2014-10-31,335.591,350.913,335.072,344.883,19054229.861111112,4565098613.438332
2014-11-01,345.305,348.045,337.142,338.594,27295572.473867595,4598095412.218369
2014-11-02,338.321,340.529,321.055,324.768,13800348.398576511,4452395055.268862
2014-11-03,325.749,329.05,320.626,325.995,13668810.43478261,4381863082.749404
2014-11-04,325.892,334.002,325.481,327.495,11246628.1184669,4426432517.795533
2014-11-05,327.554,331.767,325.077,330.717,13205792.361111112,4415004457.403919
2014-11-06,330.492,343.369,330.492,339.687,19292615.625,4554899374.9154825
2014-11-07,339.486,352.966,338.424,349.491,15877640.277777778,4628568060.305542
2014-11-08,349.29,352.732,341.776,342.479,23926555.05226481,4663531775.667887
2014-11-09,342.415,347.032,342.154,345.681,11810683.020833334,4640533542.134602
2014-11-10,345.488,363.626,344.255,363.013,13345628.333333334,4734389127.7476425
2014-11-11,363.264,374.816,357.561,365.658,28670205.923344947,4918730212.546276
2014-11-12,366.924,371.31,363.735,367.783,24853500.0,4942936589.663001
2014-11-13,367.695,429.718,367.695,421.391,28690605.20833333,5329716500.088025
2014-11-14,423.561,457.093,401.123,418.364,58432514.23611111,5867793047.484163
2014-11-15,420.735,420.735,384.789,397.55,47299567.94425088,5330735390.021117
2014-11-16,397.818,405.528,371.008,377.436,20056711.45833333,5254118166.623332
2014-11-17,376.133,390.799,374.602,388.308,15507646.875,5166601723.140995
2014-11-18,387.882,410.199,377.502,387.72,24005005.57491289,5366981347.073055
2014-11-19,387.408,392.402,371.117,375.005,38566355.902777776,5164355603.231774
2014-11-20,375.198,386.481,373.896,380.643,25768545.486111112,5113192694.730366
2014-11-21,380.555,382.025,356.781,357.799,21736320.83333333,4961024561.704637
2014-11-22,357.84,357.879,344.112,351.329,30239142.5087108,4766573017.995441
